year,pixel_count
1985,1
1986,1
1987,1
1988,1
1989,1
1990,0
1991,1
1992,0
1993,1
1994,1
1995,1
1996,1
1997,1
1999,1
2000,1
2001,0
2002,0
2003,0
2004,1
2006,1
2007,1
2008,0
2009,1
2010,1
2011,1
2014,0
2015,0
2016,0
2017,1
2018,0
2019,1
2020,1
2021,0
2022,0
2024,1
