year,date_min,area_m2_min,date_closest,area_m2_closest
2014,2014-09-16,0,2014-10-18,27900
2015,,0,,0
2016,,0,,0
2017,2017-09-08,38700,2017-10-10,43200
2018,2018-08-26,0,2018-09-27,0
2019,2019-10-16,42300,2019-10-16,42300
2020,2020-09-16,19800,2020-09-16,19800
2021,2021-09-03,0,2021-09-03,0
2022,2022-09-06,0,2022-10-08,0
2023,2023-09-25,42300,2023-09-25,42300
2024,2024-10-13,28800,2024-10-13,28800
