year,date_min,area_m2_min,date_closest,area_m2_closest
2019,2019-10-15,58000,2019-10-15,58000
2020,2020-09-14,2400,2020-10-09,4400
2021,2021-08-10,0,2021-09-24,0
2022,2022-08-28,0,2022-10-14,0
2023,2023-09-29,44400,2023-10-14,135600
2024,2024-10-13,16400,2024-10-13,16400
